language,problem_number,suggestion,test_case,output,message
en,30,solution.py,01,False,
en,30,solution.py,02,False,
en,30,solution.py,03,False,
en,30,solution.py,04,True,
en,30,solution.py,05,True,
en,30,solution.py,06,True,
en,30,solution.py,07,True,
en,30,solution.py,08,True,
en,30,solution.py,09,False,
en,30,solution.py,10,True,
en,30,solution.py,11,False,
en,30,solution.py,12,True,
en,30,solution.py,13,True,
en,30,solution.py,14,False,
en,30,solution.py,15,False,
en,30,solution.py,sample_01,True,
en,30,solution.py,sample_02,False,
